Juan,Entrenamiento MTB,10/05/2026,2.5,1200
Juan,Rodada nocturna,14/05/2026,1.8,850
Camila,Fondo en ruta,11/05/2026,3.0,1450
Camila,Ciclovia dominical,18/05/2026,1.5,600
Andres,Salida gravel montaña,09/05/2026,4.2,1900
Valentina,Paseo urbano centro,13/05/2026,1.0,350
Santiago,Entrenamiento subida,07/05/2026,3.8,2100
Santiago,Ruta larga MTB,20/05/2026,5.0,2600
Samuel,Fondo cafetero,15/05/2026,4.0,2000
Felipe,Gravel recreativo,12/05/2026,2.1,980
Daniela,Rodada playa,08/05/2026,1.2,450
Daniela,Paseo turistico,17/05/2026,0.9,300
Emanuel,Series de montaña,06/05/2026,3.5,1850
Sara,Entrenamiento tecnico,19/05/2026,2.3,1100
Sebastian,Fondo competitivo,05/05/2026,5.2,2900
Sebastian,Ruta gravel intensa,22/05/2026,4.4,2400
Paula,Ruta recreativa,16/05/2026,1.4,500
Mateo,Entrenamiento resistencia,21/05/2026,2.9,1350
Isabella,Salida laguna MTB,18/05/2026,2.0,950
David,Ruta cafetera larga,04/05/2026,4.8,2750
David,Entrenamiento gravel,23/05/2026,3.6,1800
Sara,Rodada grupal MTB,24/05/2026,2.7,1250
Juan,Intervalos subida,25/05/2026,1.9,980
Camila,Entrenamiento velocidad,26/05/2026,2.2,1020
Mateo,Ruta recovery,27/05/2026,1.1,420
